etapa,topico,subtopico,tempo,tipo,equipes
Iniciação,Definir claramente o objetivo do projeto e dos resultados esperados,Elaborar a Declaração de Escopo Preliminar,10,Sequencial,Gerente de Projeto
Iniciação,Contratar areas para iniciar o projeto,Contratando para areas do projeto,80,Sequencial,Gerente de Projeto+RH
Iniciação,Definir claramente o objetivo do projeto e dos resultados esperados,Documentar as restrições e premissas iniciais (incluindo requisitos de conformidade multinacional),80,Concomitante,Administrativo+Jurídico (consultoria)+Financeiro+Gerente de Projeto
Iniciação,"Identificar as partes interessadas (clientes, equipe, fornecedores, parceiros)","Criar o registro das partes interessadas, detalhando seus papéis e expectativas",12,Sequencial,Gerente de Projeto
Iniciação,"Identificar as partes interessadas (clientes, equipe, fornecedores, parceiros)",Definir a estratégia de comunicação inicial,4,Concomitante,Gerente de Projeto
Planejamento,Definição do escopo do projeto (o que será entregue e o que não será),Elaboração da Declaração do Escopo,40,Sequencial,Gerente de Projeto+Analista de Sistemas+TechLead
Planejamento,Criação da Estrutura Analítica do Projeto (EAP/WBS),Criação da Estrutura Analítica do Projeto (EAP/WBS),20,Sequencial,Gerente de Projeto+TechLead
Planejamento,Validação e aprovação do escopo com stakeholders,Validação e aprovação do escopo com stakeholders,20,Sequencial,Gerente de Projeto
Planejamento,"Estruturação do cronograma com prazos, etapas e marcos principais",Definição e sequenciamento das atividades,30,Sequencial,Gerente de Projeto+TechLead
Planejamento,"Estruturação do cronograma com prazos, etapas e marcos principais",Estimativa de duração das atividades e recursos necessários,20,Sequencial,Gerente de Projeto+TechLead
Planejamento,"Estruturação do cronograma com prazos, etapas e marcos principais",Desenvolvimento e validação do cronograma (diagrama de Gantt),12,Sequencial,Gerente de Projeto
Planejamento,"Planejamento financeiro, incluindo orçamento, custos previstos e controle de gastos",Estimativa de custos detalhada por atividade/pacote de trabalho (considerando custos de localização e conformidade),50,Sequencial,Gerente de Projeto+Financeiro
Planejamento,"Planejamento financeiro, incluindo orçamento, custos previstos e controle de gastos",Definição da linha de base de custo (orçamento aprovado),8,Sequencial,Financeiro
Planejamento,"Planejamento financeiro, incluindo orçamento, custos previstos e controle de gastos",Estabelecimento de mecanismos de controle de custos e relatórios de desempenho,10,Sequencial,Gerente de Projeto+Financeiro
Planejamento,"Identificação e análise de riscos, com estratégias de mitigação","Registro de riscos potenciais (Registro de Riscos), com foco em regulamentações e câmbio",40,Sequencial,Gerente de Projeto+Jurídico (consultoria)
Planejamento,"Identificação e análise de riscos, com estratégias de mitigação",Análise qualitativa e quantitativa dos riscos,18,Sequencial,Gerente de Projeto
Planejamento,"Identificação e análise de riscos, com estratégias de mitigação",Desenvolvimento de planos de resposta a riscos,14,Sequencial,Gerente de Projeto
Planejamento,Definição de padrões de qualidade e critérios de aceitação,Estabelecimento de métricas e indicadores de qualidade (incluindo precisão em câmbio e impostos),30,Sequencial,Gerente de Projeto+TechLead
